star_name,planet_amount,star_temp,star_radius,star_mass,star_metallicity,star_surfaceGravity
HIP 54597,1,4799,0.66,0.69,-0.22,4.43
HIP 56640,1,4769,4.93,1.04,-0.03,2.91
HIP 57274,3,4640,0.68,0.73,0.09,4.71
HIP 65891,1,5000,8.93,2.5,0.16,2.9
HIP 67537,1,4985,8.69,2.41,0.15,2.85
HIP 67851,2,4805,5.87,1.3,-0.03,3.04
HIP 74890,1,4850,5.77,1.74,0.2,3.1
HIP 75092,1,4891,4.53,1.28,-0.01,3.09
HIP 90988,1,4883,3.94,1.3,0.17,3.32
HIP 91258,1,5519,1,0.95,0.23,4.53
HIP 97166,2,5198,0.836,0.898,0.27,4.41
HIP 97233,1,5020,5.34,1.93,0.29,3.26
HN Lib,1,3347,0.299,0.291,-0.18,4.76
HR 2562,1,6597,1.334,1.368,0.1,4.3
HS Psc,1,4203,0.65,0.69,-0.05,4.66
K2-100,1,5945,1.24,1.15,0.22,4.33
K2-107,1,6030,1.78,1.3,0.1,4.07
K2-110,1,5010,0.713,0.738,-0.34,4.6
K2-111,2,5775,1.25,0.84,-0.46,4.25
K2-113,1,5627,1.047,1.007,0.18,4.4
K2-117,2,3676,0.513,0.532,-0.22,4.747
K2-137,1,3492,0.442,0.463,0.08,4.815
K2-138,6,5378,0.86,0.93,0.16,4.59
K2-139,1,5340,0.862,0.919,0.22,4.5
K2-140,1,5654,0.987,1.005,0.12,4.452
K2-141,2,4373,0.674,0.662,0.03,4.584
K2-146,2,3385,0.35,0.358,-0.02,4.906
K2-149,1,3745,0.568,0.595,0.11,4.707
K2-150,1,3499,0.436,0.457,0.09,4.822
K2-152,1,3940,0.631,0.654,0.09,4.657
K2-153,1,3720,0.495,0.512,-0.26,4.761
K2-154,2,3978,0.649,0.672,0.19,4.645
K2-157,3,5334,0.86,0.89,0.02,4.45
K2-16,3,4742,0.66,0.68,-0.33,4.51
K2-180,1,5110,0.69,0.71,-0.65,4.3
K2-19,3,5430,0.86,0.93,0.1,4.63
K2-216,1,4503,0.72,0.7,0,4.57
