star_name,planet_amount,star_temp,star_radius,star_mass,star_metallicity,star_surfaceGravity
TOI-849,1,5373.8,0.919,0.929,0.19,4.48
TOI-880,2,5050,0.83,0.87,0.23,4.53
TOI-892,1,6261,1.39,1.28,0.24,4.26
TOI-908,1,5626,1.028,0.95,0.08,4.45
TOI-969,2,4435,0.671,0.734,0.175,4.55
TYC 2187-512-1,1,3734,0.495,0.498,0.08,4.68
WASP-101,1,6400,1.29,1.34,0.2,4.345
WASP-103,1,6110,1.436,1.22,0.06,4.22
WASP-105,1,5070,0.9,0.89,0.28,4.2
WASP-106,1,6055,1.393,1.192,-0.09,4.226
WASP-107,2,4430,0.66,0.69,0.02,4.5
WASP-113,1,5890,1.608,1.318,0.1,4.2
WASP-117,1,6038,1.17,1.129,-0.11,4.28
WASP-118,1,6410,1.696,1.32,0.16,4.1
WASP-119,1,5650,1.2,1.02,0.14,4.26
WASP-120,1,6450,1.87,1.393,-0.05,4.035
WASP-121,1,6459,1.458,1.353,0.13,4.242
WASP-124,1,6050,1.02,1.07,-0.02,4.44
WASP-126,2,5800,1.27,1.12,0.17,4.28
WASP-130,1,5625,0.96,1.04,0.26,4.49
WASP-131,1,6030,1.53,1.06,-0.18,4.089
WASP-132,3,4714,0.753,0.782,0.18,4.576
WASP-133,1,5700,1.44,1.16,0.29,4.18
WASP-135,1,5675,0.96,0.98,0.02,4.47
WASP-141,1,5900,1.37,1.25,0.29,4.26
WASP-142,1,6010,1.64,1.33,0.26,4.13
WASP-144,1,5200,0.81,0.81,0.18,4.53
WASP-148,2,5460,1.03,1,0.11,4.4
WASP-15,1,6300,1.44,1.18,-0.17,4.35
WASP-150,1,6218,1.651,1.394,0.156,4.147
WASP-151,1,5871,1.14,1.077,0.1,4.35
WASP-153,1,5914,1.73,1.336,0.34,4.1
WASP-156,1,4910,0.76,0.842,0.24,4.6
WASP-157,1,5838,1.134,1.26,0.34,4.5
WASP-158,1,6350,1.39,1.38,0.24,4.3
WASP-159,1,6120,2.11,1.41,0.22,3.94
WASP-162,1,5300,1.11,0.95,0.28,4.33
WASP-166,1,6050,1.22,1.19,0.19,4.34
WASP-167,1,7000,1.79,1.59,0.1,4.13
WASP-169,1,6110,2.011,1.337,0.06,3.958
WASP-17,1,6650,1.579,1.2,-0.19,4.45
WASP-171,1,5965,1.637,1.171,0.04,4.08
WASP-172,1,6900,1.91,1.49,-0.1,4.05
WASP-174,1,6400,1.31,1.3,0.09,4.32
WASP-175,1,6229,1.204,1.212,0.15,4.359
WASP-176,1,5941,1.925,1.345,0.164,3.995
WASP-177,1,5017,0.885,0.876,0.25,4.486
WASP-178,1,9360,1.67,2.07,0.21,4.31
WASP-181,1,5839,0.965,1.04,0.09,4.487
WASP-182,1,5638,1.34,1.076,0.27,4.218
WASP-183,1,5313,0.871,0.784,-0.31,4.452
WASP-184,1,6000,1.65,1.23,0.12,4.09
WASP-185,1,5900,1.5,1.12,-0.02,4.13
WASP-186,1,6361,1.47,1.22,-0.08,4.193
WASP-187,1,6150,2.83,1.54,0,3.722
WASP-190,1,6400,1.6,1.35,-0.02,4.17
WASP-192,1,5910,1.32,1.09,0.14,4.236
WASP-22,1,6000,1.13,1.1,-0.05,4.37
WASP-28,1,6084,1.123,1.011,-0.2,4.342
WASP-4,1,5500,0.903,0.93,-0.03,4.5
WASP-44,1,5420,0.906,0.935,-0.003,4.494
WASP-46,1,5600,0.858,0.828,-0.3,4.489
WASP-5,1,5880,1.026,0.972,0,4.403
WASP-52,1,5000,0.79,0.87,0.03,4.582
WASP-57,1,5600,0.836,0.954,-0.25,4.574
WASP-59,1,4650,0.613,0.719,-0.15,4.72
WASP-60,1,5900,1.14,1.078,-0.04,4.35
WASP-65,1,5600,1.01,0.93,-0.07,4.4
WASP-69,1,4792,0.801,0.83,0.35,4.57
WASP-71,1,6059,2.26,1.559,0.14,3.92
WASP-72,1,6250,1.98,1.386,-0.06,3.99
WASP-73,1,6036,2.07,1.34,0.14,3.93
WASP-74,1,5970,1.64,1.48,0.39,4.18
WASP-79,1,6600,1.51,1.39,0.03,4.2
WASP-80,1,4145,0.571,0.57,-0.14,4.689
WASP-82,1,6490,2.18,1.63,0.12,3.973
WASP-83,1,5510,1.05,1.11,0.29,4.44
WASP-84,2,5314,0.748,0.842,0,4.4
WASP-88,1,6431,2.08,1.45,-0.08,3.96
WASP-89,1,5130,0.88,0.92,0.15,4.515
WASP-90,1,6430,1.98,1.55,0.11,4.033
WASP-91,1,4920,0.86,0.84,0.19,4.3
WASP-92,1,6280,1.341,1.19,0,4.259
WASP-93,1,6700,1.524,1.334,0.07,4.197
WASP-95,1,5630,1.13,1.11,0.14,4.38
WASP-96,1,5540,1.05,1.06,0.14,4.42
WASP-97,1,5640,1.06,1.12,0.23,4.43
WASP-99,1,6180,1.76,1.48,0.21,4.12
WTS-1,1,6250,1.15,1.2,-0.5,4.4
WTS-2,1,5000,0.752,0.82,0.2,4.6
Wolf 1069,1,3158,0.1813,0.167,0.07,4.93
Wolf 327,1,3542,0.406,0.405,-0.17,4.87
Wolf 503,1,4716,0.69,0.688,-0.47,4.62
XO-1,1,5750,1,1,0.015,4.43
XO-3,1,6429,2.13,1.41,-0.177,3.95
XO-4,1,5700,1.55,1.32,-0.04,4.18
XO-5,1,5510,1.11,1,0.25,4.52
XO-6,1,6720,1.93,1.47,-0.07,4.04
XO-7,1,6250,1.48,1.405,0.432,4.246
YZ Cet,3,3151,0.157,0.142,-0.18,5.17
bet UMi,1,4126,38.3,1.4,-0.27,1.5
eps CrB,1,4406,21,1.7,-0.094,1.94
eps Tau,1,4877,12.35,2.57,0.1,2.66
gam Lib,2,4822,11.1,1.47,-0.3,2.47
gam Psc,1,4742,11.2,0.99,-0.62,2.33
iot Dra,2,4504,11.79,1.54,0.03,2.48
kap CrB,1,4840,4.68,1.33,0.09,3.2
mu Leo,1,4538.2,11.4,1.5,0.36,2.4
nu Oph,2,4887,12.24,2.61,0.1,2.64
omi CrB,1,4769,11.87,1.3,-0.27,2.36
rho CrB,4,5627,1.3617,0.889,-0.31,4.121
tau Gem,1,4388,26.8,2.3,0.14,1.96
ups Leo,1,4836,11.22,1.48,-0.2,2.46
xi Aql,1,4841,10.86,1.74,-0.11,2.61
